Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-26.0752,-69.4985,-4,2558
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2014,1,1,0,0,0.0,0.0,0.0,10.2,10.2,28.6,748.2,2.4,334.5,0
2014,1,1,1,0,0.0,0.0,0.0,9.5,9.5,30.0,746.4,2.8,328.5,0
2014,1,1,2,0,0.0,0.0,0.0,8.6,8.6,32.8,744.7,3.0,321.0,0
2014,1,1,3,0,0.0,0.0,0.0,7.1,7.1,52.4,742.0,3.4,325.5,0
2014,1,1,4,0,0.0,0.0,0.0,5.7,5.7,59.5,740.2,3.9,0.0,0
2014,1,1,5,0,0.0,0.0,0.0,3.8,3.8,60.4,737.6,4.4,190.5,0
2014,1,1,6,0,6.0,0.0,6.0,5.8,5.8,58.4,740.8,4.3,33.0,0
2014,1,1,7,0,243.8,900.1,29.4,8.6,8.6,69.4,744.0,1.7,165.0,0
2014,1,1,8,0,504.3,1043.3,35.7,12.0,12.0,64.1,747.1,1.6,240.0,0
2014,1,1,9,0,746.9,1104.2,38.7,13.6,13.6,72.5,749.8,3.4,264.0,0
2014,1,1,10,0,951.0,1136.3,40.3,15.2,15.2,57.5,752.5,4.6,261.0,0
2014,1,1,11,0,1100.7,1153.3,41.3,16.5,16.5,55.4,755.7,5.2,261.0,0
2014,1,1,12,0,1182.6,1158.3,41.7,17.5,17.5,52.6,758.8,5.9,259.5,0
2014,1,1,13,0,1193.0,1156.0,41.8,19.0,19.0,39.7,761.8,6.2,256.5,0
2014,1,1,14,0,1131.5,1146.5,41.5,20.6,20.6,32.3,764.6,6.5,256.5,0
2014,1,1,15,0,1005.3,1131.5,40.7,21.7,21.7,34.4,767.3,6.6,255.0,0
2014,1,1,16,0,820.9,1104.0,39.4,20.9,20.9,41.6,765.5,6.1,255.0,0
2014,1,1,17,0,592.2,1054.3,37.0,19.9,19.9,46.8,763.3,5.5,256.5,0
2014,1,1,18,0,338.7,953.5,32.4,18.5,18.5,53.3,761.8,4.3,258.0,0
2014,1,1,19,0,88.9,649.3,20.2,16.5,16.5,52.8,760.1,2.8,259.5,0
2014,1,1,20,0,0.0,0.0,0.0,14.7,14.7,48.8,758.6,0.4,204.0,0
2014,1,1,21,0,0.0,0.0,0.0,14.0,14.0,53.9,756.9,2.3,57.0,0
2014,1,1,22,0,0.0,0.0,0.0,13.7,13.7,59.3,755.3,3.2,358.5,0
2014,1,1,23,0,0.0,0.0,0.0,12.9,12.9,61.0,754.0,2.9,343.5,0
2014,1,2,0,0,0.0,0.0,0.0,11.4,11.4,62.9,752.3,2.7,345.0,0
2014,1,2,1,0,0.0,0.0,0.0,10.2,10.2,65.3,750.7,3.2,342.0,0
2014,1,2,2,0,0.0,0.0,0.0,9.0,9.0,72.0,748.5,3.5,339.0,0
2014,1,2,3,0,0.0,0.0,0.0,8.1,8.1,51.7,747.1,4.0,351.0,0
2014,1,2,4,0,0.0,0.0,0.0,7.0,7.0,58.3,745.3,4.3,355.5,0
2014,1,2,5,0,0.0,0.0,0.0,5.6,5.6,58.7,743.9,4.8,354.0,0
2014,1,2,6,0,5.3,0.0,5.3,7.0,7.0,57.0,746.2,5.1,19.5,0
2014,1,2,7,0,240.1,893.6,29.3,9.5,9.5,71.7,748.5,3.5,52.5,0
2014,1,2,8,0,501.7,1042.4,35.6,13.0,13.0,67.7,750.7,0.4,291.0,0
2014,1,2,9,0,745.7,1105.5,38.6,14.6,14.6,74.0,752.7,2.8,282.0,0
2014,1,2,10,0,951.7,1139.3,40.3,16.3,16.3,57.1,754.8,4.2,274.5,0
2014,1,2,11,0,1103.6,1157.7,41.2,17.8,17.8,58.4,757.1,5.1,270.0,0
2014,1,2,12,0,1186.9,1163.2,41.7,18.7,18.7,58.6,759.0,5.7,262.5,0
2014,1,2,13,0,1198.4,1161.4,41.7,20.0,20.0,46.6,761.2,6.2,258.0,0
2014,1,2,14,0,1137.5,1152.4,41.4,21.1,21.1,34.4,763.2,6.6,255.0,0
2014,1,2,15,0,1011.6,1138.0,40.7,22.1,22.1,32.9,765.6,6.6,252.0,0
2014,1,2,16,0,826.7,1110.7,39.4,20.9,20.9,37.0,763.3,6.2,253.5,0
2014,1,2,17,0,597.3,1061.8,37.0,19.6,19.6,39.8,761.6,6.0,252.0,0
2014,1,2,18,0,341.9,959.7,32.4,17.7,17.7,43.4,760.5,4.6,253.5,0
2014,1,2,19,0,90.5,657.2,20.4,15.4,15.4,42.6,758.7,3.2,261.0,0
2014,1,2,20,0,0.0,0.0,0.0,13.7,13.7,39.4,756.9,0.1,328.5,0
2014,1,2,21,0,0.0,0.0,0.0,13.1,13.1,43.2,754.7,2.9,84.0,0
2014,1,2,22,0,0.0,0.0,0.0,12.7,12.7,47.4,753.2,3.7,18.0,0
2014,1,2,23,0,0.0,0.0,0.0,12.1,12.1,48.4,751.7,3.7,357.0,0
2014,1,3,0,0,0.0,0.0,0.0,10.9,10.9,51.6,749.5,3.7,351.0,0
2014,1,3,1,0,0.0,0.0,0.0,10.0,10.0,55.0,747.9,3.8,348.0,0
2014,1,3,2,0,0.0,0.0,0.0,9.0,9.0,60.9,746.2,3.9,349.5,0
2014,1,3,3,0,0.0,0.0,0.0,8.0,8.0,44.7,744.3,4.1,342.0,0
2014,1,3,4,0,0.0,0.0,0.0,6.5,6.5,50.8,743.2,4.4,321.0,0
2014,1,3,5,0,0.0,0.0,0.0,5.5,5.5,51.2,741.2,4.8,178.5,0
2014,1,3,6,0,4.7,0.0,4.7,7.7,7.7,47.7,744.1,4.7,51.0,0
2014,1,3,7,0,240.5,904.4,29.2,9.7,9.7,54.6,747.1,2.9,142.5,0
2014,1,3,8,0,504.0,1052.3,35.6,13.1,13.1,52.6,750.2,1.2,238.5,0
2014,1,3,9,0,749.3,1114.1,38.6,15.0,15.0,57.7,753.0,3.2,268.5,0
2014,1,3,10,0,956.1,1146.5,40.3,16.9,16.9,47.9,755.8,4.5,264.0,0
2014,1,3,11,0,1108.4,1164.0,41.2,18.5,18.5,48.3,758.4,5.1,262.5,0
2014,1,3,12,0,1192.1,1169.0,41.7,19.9,19.9,49.7,761.3,5.7,259.5,0
2014,1,3,13,0,1203.9,1166.9,41.7,21.6,21.6,38.1,763.8,6.2,256.5,0
2014,1,3,14,0,1143.0,1157.7,41.4,22.9,22.9,28.6,766.5,6.4,255.0,0
2014,1,3,15,0,1015.4,1141.4,40.7,22.1,22.1,29.6,765.0,6.5,253.5,0
2014,1,3,16,0,829.0,1112.5,39.3,21.0,21.0,34.3,763.0,6.1,255.0,0
2014,1,3,17,0,598.5,1061.7,36.9,19.8,19.8,35.7,761.0,5.4,256.5,0
2014,1,3,18,0,343.9,963.0,32.4,18.4,18.4,36.0,759.5,4.2,253.5,0
2014,1,3,19,0,91.9,664.0,20.5,16.8,16.8,33.4,757.9,1.9,235.5,0
2014,1,3,20,0,0.0,0.0,0.0,15.6,15.6,31.8,756.4,1.4,129.0,0
2014,1,3,21,0,0.0,0.0,0.0,15.2,15.2,37.2,754.5,3.2,76.5,0
2014,1,3,22,0,0.0,0.0,0.0,14.8,14.8,44.6,752.9,3.8,19.5,0
2014,1,3,23,0,0.0,0.0,0.0,13.8,13.8,48.9,751.1,3.5,355.5,0
2014,1,4,0,0,0.0,0.0,0.0,12.3,12.3,51.9,749.5,3.4,358.5,0
2014,1,4,1,0,0.0,0.0,0.0,11.2,11.2,54.6,748.2,3.8,0.0,0
2014,1,4,2,0,0.0,0.0,0.0,10.2,10.2,59.6,746.5,4.1,4.5,0
2014,1,4,3,0,0.0,0.0,0.0,9.3,9.3,44.4,745.2,4.3,13.5,0
2014,1,4,4,0,0.0,0.0,0.0,9.0,9.0,48.3,744.1,4.9,13.5,0
2014,1,4,5,0,0.0,0.0,0.0,7.9,7.9,46.2,742.2,5.2,40.5,0
2014,1,4,6,0,4.0,0.0,4.0,7.1,7.1,44.2,740.5,5.3,36.0,0
2014,1,4,7,0,230.1,869.0,29.0,10.3,10.3,50.3,746.0,4.5,31.5,0
2014,1,4,8,0,487.5,1020.3,35.4,15.2,15.2,49.9,751.6,1.3,340.5,0
2014,1,4,9,0,729.6,1086.5,38.5,19.0,19.0,53.7,757.1,2.6,310.5,0
2014,1,4,10,0,934.9,1122.1,40.2,22.0,22.0,46.2,762.4,4.5,285.0,0
2014,1,4,11,0,1087.2,1142.1,41.1,24.4,24.4,46.6,768.4,5.3,276.0,0
2014,1,4,12,0,1172.2,1149.4,41.6,23.4,23.4,49.5,767.8,5.9,262.5,0
2014,1,4,13,0,1186.0,1149.0,41.7,22.6,22.6,43.5,766.4,6.3,256.5,0
2014,1,4,14,0,1127.7,1141.1,41.4,22.3,22.3,37.6,765.2,6.6,255.0,0
2014,1,4,15,0,1003.8,1127.0,40.7,22.1,22.1,40.1,763.9,6.4,253.5,0
2014,1,4,16,0,821.3,1100.2,39.4,21.4,21.4,43.1,761.8,5.9,253.5,0
2014,1,4,17,0,594.1,1051.7,37.0,20.7,20.7,42.3,760.0,5.3,252.0,0
2014,1,4,18,0,342.1,954.3,32.5,19.3,19.3,42.5,759.2,4.0,249.0,0
2014,1,4,19,0,92.0,659.7,20.5,17.6,17.6,40.6,757.8,1.9,235.5,0
2014,1,4,20,0,0.0,0.0,0.0,16.4,16.4,39.2,756.4,1.8,139.5,0
2014,1,4,21,0,0.0,0.0,0.0,16.1,16.1,43.4,754.5,3.5,30.0,0
2014,1,4,22,0,0.0,0.0,0.0,15.9,15.9,47.9,753.5,4.4,31.5,0
2014,1,4,23,0,0.0,0.0,0.0,14.8,14.8,48.8,752.0,3.8,351.0,0
2014,1,5,0,0,0.0,0.0,0.0,13.4,13.4,50.1,750.9,3.5,349.5,0
2014,1,5,1,0,0.0,0.0,0.0,12.2,12.2,52.7,750.0,3.4,340.5,0
2014,1,5,2,0,0.0,0.0,0.0,11.4,11.4,58.5,748.9,3.7,354.0,0
2014,1,5,3,0,0.0,0.0,0.0,10.4,10.4,44.2,747.5,3.8,22.5,0
2014,1,5,4,0,0.0,0.0,0.0,9.8,9.8,47.3,746.6,4.0,24.0,0
2014,1,5,5,0,0.0,0.0,0.0,8.5,8.5,45.6,744.9,4.6,144.0,0
2014,1,5,6,0,3.3,0.0,3.3,9.9,9.9,44.1,747.5,4.3,37.5,0
2014,1,5,7,0,223.6,850.6,28.7,12.3,12.3,50.7,749.9,2.7,39.0,0
2014,1,5,8,0,477.4,1002.9,35.3,15.3,15.3,49.9,752.5,1.1,313.5,0
2014,1,5,9,0,716.8,1069.5,38.4,16.7,16.7,52.2,754.9,3.3,282.0,0
2014,1,5,10,0,919.8,1105.0,40.1,18.1,18.1,43.8,757.1,4.6,268.5,0
2014,1,5,11,0,1070.3,1124.8,41.1,19.0,19.0,43.9,759.6,5.4,264.0,0
2014,1,5,12,0,1157.0,1134.5,41.6,19.8,19.8,46.8,761.6,5.9,262.5,0
2014,1,5,13,0,1173.1,1136.1,41.6,21.0,21.0,41.4,764.0,6.1,258.0,0
2014,1,5,14,0,1117.5,1130.0,41.3,22.4,22.4,38.3,766.0,6.6,256.5,0
2014,1,5,15,0,995.2,1116.0,40.6,23.4,23.4,44.5,768.1,6.4,256.5,0
2014,1,5,16,0,814.5,1089.5,39.3,22.5,22.5,54.0,766.4,6.1,255.0,0
2014,1,5,17,0,589.1,1040.5,36.9,21.3,21.3,57.8,763.9,5.3,256.5,0
2014,1,5,18,0,339.2,943.4,32.4,19.7,19.7,62.4,762.2,3.8,255.0,0
2014,1,5,19,0,91.3,648.3,20.5,18.4,18.4,57.8,759.9,1.4,231.0,0
2014,1,5,20,0,0.0,0.0,0.0,17.1,17.1,50.1,758.1,1.7,91.5,0
2014,1,5,21,0,0.0,0.0,0.0,16.6,16.6,52.1,755.9,3.2,102.0,0
2014,1,5,22,0,0.0,0.0,0.0,15.7,15.7,55.2,753.9,3.8,21.0,0
2014,1,5,23,0,0.0,0.0,0.0,15.0,15.0,55.6,751.9,3.8,343.5,0
2014,1,6,0,0,0.0,0.0,0.0,13.8,13.8,56.5,749.9,3.7,334.5,0
2014,1,6,1,0,0.0,0.0,0.0,12.5,12.5,57.4,748.0,3.9,330.0,0
2014,1,6,2,0,0.0,0.0,0.0,11.4,11.4,58.4,746.2,4.0,343.5,0
2014,1,6,3,0,0.0,0.0,0.0,10.1,10.1,42.4,744.4,4.1,357.0,0
2014,1,6,4,0,0.0,0.0,0.0,8.9,8.9,45.5,743.2,4.3,0.0,0
2014,1,6,5,0,0.0,0.0,0.0,7.1,7.1,46.4,740.9,4.7,27.0,0
2014,1,6,6,0,2.8,0.0,2.8,9.0,9.0,44.5,743.6,4.6,27.0,0
2014,1,6,7,0,227.0,874.4,28.8,10.9,10.9,52.1,746.3,2.9,49.5,0
2014,1,6,8,0,486.9,1028.8,35.4,14.1,14.1,50.7,748.8,1.0,285.0,0
2014,1,6,9,0,731.4,1095.4,38.5,16.1,16.1,54.5,751.5,3.1,279.0,0
2014,1,6,10,0,939.1,1131.0,40.3,17.9,17.9,46.3,754.2,4.4,265.5,0
2014,1,6,11,0,1093.4,1150.9,41.2,19.3,19.3,46.6,757.0,5.2,261.0,0
2014,1,6,12,0,1179.6,1157.8,41.7,20.3,20.3,49.6,759.1,6.0,258.0,0
2014,1,6,13,0,1194.1,1157.0,41.8,21.8,21.8,43.0,762.3,6.5,255.0,0
2014,1,6,14,0,1136.1,1149.0,41.5,22.8,22.8,34.6,764.6,6.8,253.5,0
2014,1,6,15,0,1011.5,1134.0,40.8,24.0,24.0,34.3,768.6,6.8,253.5,0
2014,1,6,16,0,827.8,1106.6,39.4,22.6,22.6,37.5,766.2,6.4,253.5,0
2014,1,6,17,0,599.3,1057.3,37.1,21.1,21.1,38.5,763.9,6.0,250.5,0
2014,1,6,18,0,343.1,952.6,32.5,19.7,19.7,39.1,762.8,4.4,252.0,0
2014,1,6,19,0,92.0,649.8,20.6,17.7,17.7,36.6,760.7,3.0,255.0,0
2014,1,6,20,0,0.0,0.0,0.0,16.0,16.0,35.2,759.0,0.8,159.0,0
2014,1,6,21,0,0.0,0.0,0.0,15.5,15.5,39.5,756.6,2.7,109.5,0
2014,1,6,22,0,0.0,0.0,0.0,15.0,15.0,45.8,754.7,3.7,27.0,0
2014,1,6,23,0,0.0,0.0,0.0,14.0,14.0,48.4,752.6,3.7,352.5,0
2014,1,7,0,0,0.0,0.0,0.0,12.8,12.8,49.6,750.6,3.6,340.5,0
2014,1,7,1,0,0.0,0.0,0.0,11.8,11.8,50.8,748.9,4.1,345.0,0
2014,1,7,2,0,0.0,0.0,0.0,10.8,10.8,55.4,746.8,4.2,352.5,0
2014,1,7,3,0,0.0,0.0,0.0,9.5,9.5,43.4,745.2,4.2,1.5,0
2014,1,7,4,0,0.0,0.0,0.0,8.2,8.2,47.5,743.7,4.3,36.0,0
2014,1,7,5,0,0.0,0.0,0.0,7.0,7.0,47.3,742.1,4.0,75.0,0
2014,1,7,6,0,2.1,0.0,2.1,8.3,8.3,43.9,745.5,3.9,48.0,0
2014,1,7,7,0,222.8,866.1,28.6,10.8,10.8,47.8,748.8,1.8,168.0,0
2014,1,7,8,0,480.4,1019.5,35.3,13.9,13.9,45.6,751.7,0.8,240.0,0
2014,1,7,9,0,722.5,1084.6,38.4,16.0,16.0,47.1,754.3,3.0,271.5,0
2014,1,7,10,0,927.7,1118.7,40.1,18.1,18.1,40.5,757.2,4.6,267.0,0
2014,1,7,11,0,1079.6,1137.2,41.1,19.6,19.6,38.9,760.4,5.3,264.0,0
2014,1,7,12,0,1167.2,1145.9,41.5,20.9,20.9,40.8,763.7,5.9,259.5,0
2014,1,7,13,0,1183.7,1146.8,41.6,22.3,22.3,37.9,766.5,6.3,255.0,0
2014,1,7,14,0,1127.9,1140.1,41.3,23.8,23.8,35.0,769.7,6.5,253.5,0
2014,1,7,15,0,1005.4,1126.4,40.6,22.6,22.6,40.6,767.3,6.3,253.5,0
2014,1,7,16,0,823.8,1100.1,39.3,21.1,21.1,48.3,765.3,6.0,252.0,0
