Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2023,1,1,0,0,65.6,52.4,13.1,14.8,10.8,62.7,845.5,2.8,280.7,0
2023,1,1,1,0,0.0,0.0,0.0,15.0,10.4,63.9,844.2,2.2,248.1,0
2023,1,1,2,0,57.6,46.1,11.5,15.6,11.4,66.1,843.6,2.3,104.0,0
2023,1,1,3,0,77.3,61.9,15.5,15.0,10.9,71.7,844.9,1.3,51.1,0
2023,1,1,4,0,54.4,43.5,10.9,18.2,15.5,78.8,845.2,1.5,214.2,0
2023,1,1,5,0,238.5,190.8,47.7,18.8,16.3,76.5,844.4,1.3,79.9,0
2023,1,1,6,0,288.4,230.7,57.7,20.7,17.6,79.9,845.5,1.0,129.1,0
2023,1,1,7,0,452.5,362.0,90.5,22.0,18.2,74.2,845.2,2.0,199.1,0
2023,1,1,8,0,610.0,488.0,122.0,22.7,18.3,85.5,844.7,1.1,348.5,0
2023,1,1,9,0,770.8,616.6,154.2,24.1,19.9,76.5,844.4,2.0,291.9,0
2023,1,1,10,0,866.1,692.8,173.2,24.1,21.3,72.7,845.7,2.5,198.9,0
2023,1,1,11,0,926.2,740.9,185.2,24.6,22.0,66.5,845.4,3.4,66.6,0
2023,1,1,12,0,1011.5,809.2,202.3,25.8,21.1,49.5,843.9,2.5,131.1,0
2023,1,1,13,0,983.3,786.6,196.7,24.4,19.5,62.2,843.9,3.7,348.1,0
2023,1,1,14,0,906.3,725.0,181.3,26.3,21.8,51.9,844.3,4.8,42.8,0
2023,1,1,15,0,727.2,581.7,145.4,24.1,19.6,47.7,844.9,4.7,295.4,0
2023,1,1,16,0,662.6,530.1,132.5,22.9,19.8,35.8,844.8,3.8,263.3,0
2023,1,1,17,0,511.7,409.4,102.3,20.5,15.7,48.1,846.2,5.1,340.8,0
2023,1,1,18,0,338.3,270.7,67.7,20.1,15.3,33.6,844.0,4.9,31.4,0
2023,1,1,19,0,239.8,191.8,48.0,18.9,16.0,42.7,846.1,5.3,258.8,0
2023,1,1,20,0,115.5,92.4,23.1,17.6,13.5,40.2,844.7,5.5,35.9,0
2023,1,1,21,0,122.2,97.7,24.4,16.7,14.1,44.5,844.5,5.4,52.3,0
2023,1,1,22,0,0.0,0.0,0.0,15.8,12.1,50.6,844.6,3.8,63.2,0
2023,1,1,23,0,0.0,0.0,0.0,12.5,9.3,53.6,843.8,3.4,265.7,0
2023,1,2,0,0,24.9,19.9,5.0,15.9,13.0,53.9,845.1,2.3,20.0,0
2023,1,2,1,0,57.0,45.6,11.4,14.1,11.2,70.0,845.6,2.6,5.6,0
